entryValidBit, t0, hostName, IP Addr, First Line, t1, t2, t3, (t2 - t1), (t3 - t2)
true, Tue Mar 27 19:13:07 EDT 2012, www.shenyang.gov.cn, 61.161.137.46, HTTP/1.1 505 HTTP Version Not Supported, 1332890011272, 1332890011560, 1332890012126, 288, 566
true, Tue Mar 27 19:13:07 EDT 2012, english.dl.gov.cn, 124.93.228.74, HTTP/1.0 404 Not Found, 1332890012126, 1332890027136, 1332890027726, 15010, 590
true, Tue Mar 27 19:43:47 EDT 2012, www.unc.edu, 152.19.240.120, HTTP/1.1 200 OK, 1332891827801, 1332891827808, 1332891827819, 7, 11
true, Tue Mar 27 19:43:47 EDT 2012, www.google.com, 74.125.45.105, HTTP/1.0 200 OK, 1332891827834, 1332891827835, 1332891827884, 1, 49
true, Tue Mar 27 19:43:47 EDT 2012, www.wikipedia.org, 208.80.154.225, HTTP/1.0 400 Bad Request, 1332891827924, 1332891827931, 1332891828045, 7, 114
true, Tue Mar 27 19:43:47 EDT 2012, www.harvard.edu, 69.172.200.24, HTTP/1.1 404 Not Found, 1332891828046, 1332891828071, 1332891828161, 25, 90
true, Tue Mar 27 19:43:47 EDT 2012, www.stanford.edu, 171.64.13.26, HTTP/1.1 200 OK, 1332891828161, 1332891828255, 1332891828426, 94, 171
true, Tue Mar 27 19:43:47 EDT 2012, www.youtube.com, 74.125.229.67, HTTP/1.0 200 OK, 1332891828594, 1332891828619, 1332891828705, 25, 86
true, Tue Mar 27 19:43:47 EDT 2012, www.facebook.com, 69.171.229.11, HTTP/1.1 400 Bad Request, 1332891828737, 1332891828761, 1332891828956, 24, 195
true, Tue Mar 27 19:43:47 EDT 2012, www.ox.ac.uk, 163.1.60.42, HTTP/1.1 404 Not Found, 1332891828956, 1332891829176, 1332891829401, 220, 225
true, Tue Mar 27 19:43:47 EDT 2012, www.cam.ac.uk, 131.111.8.46, HTTP/1.1 200 OK, 1332891829402, 1332891829404, 1332891830038, 2, 634
true, Tue Mar 27 19:43:47 EDT 2012, www.bbc.co.uk, 212.58.246.95, HTTP/1.1 404 Not Found, 1332891830273, 1332891830491, 1332891830722, 218, 231
true, Tue Mar 27 19:43:47 EDT 2012, www.unicamp.br, 143.106.10.30, HTTP/1.1 200 OK, 1332891842342, 1332891842770, 1332891843050, 428, 280
true, Tue Mar 27 19:43:47 EDT 2012, www2.planalto.gov.br, 189.9.34.12, HTTP/1.1 301 Moved Permanently, 1332891843050, 1332891844173, 1332891844552, 1123, 379
true, Tue Mar 27 19:43:47 EDT 2012, www.unam.mx, 132.248.10.44, HTTP/1.1 200 OK, 1332891844552, 1332891844554, 1332891844754, 2, 200
true, Tue Mar 27 19:43:47 EDT 2012, sydney.edu.au, 129.78.5.11, HTTP/1.1 301 Moved Permanently, 1332891844932, 1332891844934, 1332891845406, 2, 472
true, Tue Mar 27 19:43:47 EDT 2012, www.unimelb.edu.au, 128.250.148.40, HTTP/1.1 200 OK, 1332891845407, 1332891845658, 1332891846155, 251, 497
true, Tue Mar 27 19:43:47 EDT 2012, www.auckland.ac.nz, 130.216.11.141, HTTP/1.1 200 OK, 1332891846155, 1332891846791, 1332891847210, 636, 419
true, Tue Mar 27 19:43:47 EDT 2012, www.alaska.edu, 137.229.114.19, HTTP/1.1 400 Bad request (missing host header)., 1332891847210, 1332891847346, 1332891847616, 136, 270
true, Tue Mar 27 19:43:47 EDT 2012, www.colorado.edu, 128.138.129.98, HTTP/1.1 301 Moved Permanently, 1332891847617, 1332891847753, 1332891847923, 136, 170
true, Tue Mar 27 19:43:47 EDT 2012, www.umn.edu, 134.84.119.207, HTTP/1.1 302 Found, 1332891847924, 1332891847968, 1332891848056, 44, 88
true, Tue Mar 27 19:43:47 EDT 2012, wustl.edu, 128.252.87.149, HTTP/1.1 200 OK, 1332891848056, 1332891848107, 1332891848191, 51, 84
